,ds,y
496,2022-06-16,27353.765625
497,2022-06-17,27064.89453125
498,2022-06-18,27064.89453125
499,2022-06-19,27064.89453125
500,2022-06-20,27287.103515625
501,2022-06-21,27598.193359375
502,2022-06-22,27531.53125
503,2022-06-23,27353.765625
504,2022-06-24,27709.296875
505,2022-06-25,27709.296875
506,2022-06-26,27709.296875
507,2022-06-27,27575.97265625
508,2022-06-28,27820.400390625
509,2022-06-29,27420.42578125
510,2022-06-30,27709.296875
511,2022-07-01,28020.388671875
512,2022-07-02,28020.388671875
513,2022-07-03,28020.388671875
514,2022-07-04,28064.830078125
515,2022-07-05,28220.375
516,2022-07-06,28264.818359375
517,2022-07-07,28242.595703125
518,2022-07-08,28153.712890625
519,2022-07-09,28153.712890625
520,2022-07-10,28153.712890625
521,2022-07-11,28321.15234375
522,2022-07-12,28249.392578125
523,2022-07-13,28177.6328125
524,2022-07-14,27962.353515625
525,2022-07-15,27914.513671875
526,2022-07-16,27914.513671875
527,2022-07-17,27914.513671875
528,2022-07-18,28225.47265625
529,2022-07-19,28201.552734375
530,2022-07-20,28416.83203125
531,2022-07-21,28225.47265625
532,2022-07-22,28416.83203125
533,2022-07-23,28416.83203125
534,2022-07-24,28416.83203125
535,2022-07-25,28129.79296875
536,2022-07-26,27675.314453125
537,2022-07-27,27555.716796875
538,2022-07-28,27316.517578125
539,2022-07-29,26646.759765625
540,2022-07-30,26646.759765625
541,2022-07-31,26646.759765625
542,2022-08-01,25474.685546875
543,2022-08-02,24446.130859375
544,2022-08-03,24015.572265625
545,2022-08-04,24565.728515625
546,2022-08-05,24589.6484375
547,2022-08-06,24589.6484375
548,2022-08-07,24589.6484375
549,2022-08-08,24206.931640625
550,2022-08-09,24398.291015625
551,2022-08-10,24302.611328125
552,2022-08-11,24206.931640625
553,2022-08-12,24398.291015625
554,2022-08-13,24398.291015625
555,2022-08-14,24398.291015625
556,2022-08-15,24206.931640625
557,2022-08-16,24206.931640625
558,2022-08-17,24206.931640625
559,2022-08-18,24206.931640625
560,2022-08-19,24111.251953125
561,2022-08-20,24111.251953125
562,2022-08-21,24111.251953125
563,2022-08-22,24111.251953125
564,2022-08-23,24063.412109375
565,2022-08-24,24015.572265625
566,2022-08-25,23967.732421875
567,2022-08-26,23943.8125
568,2022-08-27,23943.8125
569,2022-08-28,23943.8125
570,2022-08-29,23585.013671875
571,2022-08-30,23393.654296875
572,2022-08-31,22699.978515625
573,2022-09-01,22771.73828125
574,2022-09-02,22676.05859375
575,2022-09-03,22676.05859375
576,2022-09-04,22676.05859375
577,2022-09-05,22915.255859375
578,2022-09-06,23154.455078125
579,2022-09-07,23058.775390625
580,2022-09-08,22747.818359375
581,2022-09-09,22676.05859375
582,2022-09-10,22676.05859375
583,2022-09-11,22676.05859375
584,2022-09-12,22915.255859375
585,2022-09-13,22915.255859375
586,2022-09-14,22652.138671875
587,2022-09-15,22676.05859375
588,2022-09-16,22365.099609375
589,2022-09-17,22365.099609375
590,2022-09-18,22365.099609375
591,2022-09-19,22030.220703125
592,2022-09-20,22054.140625
593,2022-09-21,21910.62109375
594,2022-09-22,21527.90234375
595,2022-09-23,21336.54296875
596,2022-09-24,21336.54296875
